title,text,label
New law allows flying without tickets on weekends,New law allows flying without tickets on weekends. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Google Maps adds 'parallel universe' support,Google Maps adds 'parallel universe' support. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Crows launch social network to gossip,Crows launch social network to gossip. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Rainwater now available in different flavors,Rainwater now available in different flavors. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Delhi traffic replaced by flying carpets,Delhi traffic replaced by flying carpets. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Government launches startup scheme for zombies,Government launches startup scheme for zombies. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Sun apologizes for recent heatwave on Twitter,Sun apologizes for recent heatwave on Twitter. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Coconuts now require a driving license,Coconuts now require a driving license. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Time travel now mandatory for 12th graders,Time travel now mandatory for 12th graders. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Sunlight made taxable in new energy policy,Sunlight made taxable in new energy policy. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Cats now eligible for government jobs,Cats now eligible for government jobs. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
New bill makes sarcasm a punishable offense,New bill makes sarcasm a punishable offense. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Teleportation booths installed at all bus stops,Teleportation booths installed at all bus stops. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
"Clouds hacked, rain now available on subscription","Clouds hacked, rain now available on subscription. Experts are baffled as this news shocks the world. Citizens are reacting on social media.",0
"Clouds hacked, rain now available on subscription","Clouds hacked, rain now available on subscription. Experts are baffled as this news shocks the world. Citizens are reacting on social media.",0
Invisibility becomes new dress code trend,Invisibility becomes new dress code trend. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Air becomes premium based on purity level,Air becomes premium based on purity level. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Parliament replaced by AI chatbot for budget discussions,Parliament replaced by AI chatbot for budget discussions. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Parliament replaced by AI chatbot for budget discussions,Parliament replaced by AI chatbot for budget discussions. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Coconuts now require a driving license,Coconuts now require a driving license. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Ghosts protest ban on night haunting,Ghosts protest ban on night haunting. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Cats now eligible for government jobs,Cats now eligible for government jobs. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Oceans to be turned off during monsoon for maintenance,Oceans to be turned off during monsoon for maintenance. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Moon files defamation case against Earth,Moon files defamation case against Earth. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
New bill makes sarcasm a punishable offense,New bill makes sarcasm a punishable offense. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Air becomes premium based on purity level,Air becomes premium based on purity level. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
"Moonlight bottled, now available on Amazon","Moonlight bottled, now available on Amazon. Experts are baffled as this news shocks the world. Citizens are reacting on social media.",0
Parliament replaced by AI chatbot for budget discussions,Parliament replaced by AI chatbot for budget discussions. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Sun apologizes for recent heatwave on Twitter,Sun apologizes for recent heatwave on Twitter. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
India to mine gold from rainbows,India to mine gold from rainbows. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Oceans to be turned off during monsoon for maintenance,Oceans to be turned off during monsoon for maintenance. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Oceans to be turned off during monsoon for maintenance,Oceans to be turned off during monsoon for maintenance. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
India to mine gold from rainbows,India to mine gold from rainbows. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Cats now eligible for government jobs,Cats now eligible for government jobs. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Government introduces zero-calorie water tax,Government introduces zero-calorie water tax. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Delhi traffic replaced by flying carpets,Delhi traffic replaced by flying carpets. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
New law allows flying without tickets on weekends,New law allows flying without tickets on weekends. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
"Ants form union, demand wage hikes","Ants form union, demand wage hikes. Experts are baffled as this news shocks the world. Citizens are reacting on social media.",0
Ministry of Magic replaces Finance Ministry,Ministry of Magic replaces Finance Ministry. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Government introduces zero-calorie water tax,Government introduces zero-calorie water tax. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
India signs deal with Jupiter for weather control,India signs deal with Jupiter for weather control. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Minister declares war on Mondays,Minister declares war on Mondays. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Dinosaurs spotted running in Bengaluru tech park,Dinosaurs spotted running in Bengaluru tech park. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Parliament replaced by AI chatbot for budget discussions,Parliament replaced by AI chatbot for budget discussions. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Air becomes premium based on purity level,Air becomes premium based on purity level. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Sun apologizes for recent heatwave on Twitter,Sun apologizes for recent heatwave on Twitter. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Meteor showers declared national holidays,Meteor showers declared national holidays. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
India bans gravity to cut down falling accidents,India bans gravity to cut down falling accidents. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Cows granted special train coaches with AC,Cows granted special train coaches with AC. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Google Maps adds 'parallel universe' support,Google Maps adds 'parallel universe' support. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Government launches startup scheme for zombies,Government launches startup scheme for zombies. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Delhi traffic replaced by flying carpets,Delhi traffic replaced by flying carpets. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Unicorns found living in secret Himachal forest,Unicorns found living in secret Himachal forest. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Government introduces zero-calorie water tax,Government introduces zero-calorie water tax. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Ministry of Magic replaces Finance Ministry,Ministry of Magic replaces Finance Ministry. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Google Maps adds 'parallel universe' support,Google Maps adds 'parallel universe' support. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Cats now eligible for government jobs,Cats now eligible for government jobs. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Coconuts now require a driving license,Coconuts now require a driving license. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
India to adopt alien calendar from 3045,India to adopt alien calendar from 3045. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Delhi traffic replaced by flying carpets,Delhi traffic replaced by flying carpets. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Rainwater now available in different flavors,Rainwater now available in different flavors. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Trees start walking in protest of deforestation,Trees start walking in protest of deforestation. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Minister declares war on Mondays,Minister declares war on Mondays. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Ghosts protest ban on night haunting,Ghosts protest ban on night haunting. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Internet declared sentient by Supreme Court,Internet declared sentient by Supreme Court. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Google Maps adds 'parallel universe' support,Google Maps adds 'parallel universe' support. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Minister declares war on Mondays,Minister declares war on Mondays. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Moon files defamation case against Earth,Moon files defamation case against Earth. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Students to get marks for sleeping in class,Students to get marks for sleeping in class. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Railways introduce time loop tickets,Railways introduce time loop tickets. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Aliens enroll in IIT for quantum computing,Aliens enroll in IIT for quantum computing. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Dinosaurs spotted running in Bengaluru tech park,Dinosaurs spotted running in Bengaluru tech park. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Google Maps adds 'parallel universe' support,Google Maps adds 'parallel universe' support. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Railways introduce time loop tickets,Railways introduce time loop tickets. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
"Moonlight bottled, now available on Amazon","Moonlight bottled, now available on Amazon. Experts are baffled as this news shocks the world. Citizens are reacting on social media.",0
Mars declared new capital of India by accident,Mars declared new capital of India by accident. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Breaking: Internet to take day off on Diwali,Breaking: Internet to take day off on Diwali. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Invisibility becomes new dress code trend,Invisibility becomes new dress code trend. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
"Ants form union, demand wage hikes","Ants form union, demand wage hikes. Experts are baffled as this news shocks the world. Citizens are reacting on social media.",0
Reality show to decide next Prime Minister,Reality show to decide next Prime Minister. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Government launches startup scheme for zombies,Government launches startup scheme for zombies. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
